Project,defisafety,defiscore.io,nexusmutual
Compound,97%,8.4,
mStable,97%,,
Bancor,96%,,
Gnosis Safe,95%,,
Uniswap V3,94%,,2.60%
Ampleforth,93%,,
Yearn V2 Finance,93%,,
dYdX,92%,8.0,
Aave,91%,7.8,
Gnosis DEX,91%,,
Pool Together,91%,,
BarnBridge,91%,,2.60%
Idle Finance,89%,,
Kyber,89%,,
PLOTX Predictions,89%,,
RenVM,88%,,
bZx,87%,5.0,
Nexus Mutual,87%,,
Akropolis Sparta,86%,,
Melon,86%,,
PIE DAO,85%,,
Synthetix Exchange,85%,,
UMA Project,85%,,
Lido Finance,84%,,
Maker DAO,84%,,
Metronome,84%,,
SET Protocol v2,84%,,
Liquity,84%,,2.60%
Auctus Finance,83%,,
C.R.E.A.M (Swap and Lending),83%,,
Enzyme,83%,,
FLEXA / AMP,82%,,
Loopring,82%,,
PancakeSwap,82%,,
Datamine,81%,,
B Protocol,80%,,
MCDex,80%,,
Power Index,80%,,
Opyn Protection,80%,,2.60%
88mph,79%,,
Notional Finance,79%,,
Perpetual Protocol,79%,,
Stakewise,79%,,
Alpha Homora,79%,,2.60%
Curve Finance,77%,,
Cover Protocol,76%,,
Dodo,76%,,
RAI and Reflexer Finance,76%,,2.60%
Hegic Options,75%,,
Anchor Protocol,75%,,2.60%
ARMOR.FI,74%,,
Augur,74%,,
Balancer Finance,74%,,
RARI Capital,74%,,
unFederalReserve,74%,,
TrueFi,73%,,
DeFi Saver,71%,,
Vesper,71%,,2.60%
dForce,70%,,
dHedge,70%,,
Keep3r,70%,,
Alpaca Finance – BSC,68%,,
Idex,68%,,
Harvest Finance,67%,,18.23%
CORE (C.Vault) Finance,66%,,
Pickle Finance V2,66%,,
Yearn V1 Finance,66%,,
Badger Finance,65%,,
Impermax Finance,65%,,
Pickle Finance,64%,,
HEX,63%,,
Venus – BSC,63%,,26.95%
Unitrade,61%,,
Ellipsis Finance,60%,,
Ichi,59%,,
GrowthDefi,57%,,
SushiSwap,57%,,
Belt Finance,56%,,
DFYN,56%,,
Instadapp,55%,,
YFV Value DeFi,55%,,
Olympus Finance (OHM),54%,,
Adamant Finance,53%,,
Beefy Finance,53%,,
ParaSwap,53%,,
Sake Swap,53%,,
SIREN Protocol,53%,,
Wise,53%,,
Orion Protocol,50%,,
Index Coop,49%,,
O3Swap,49%,,
AutoFarm,47%,,
Dracula Protocol,47%,,
Inverse Finance,47%,,
IRON Finance,47%,,
Future Swap,46%,,
Convex Finance,46%,,2.60%
PantherSwap – BSC,45%,,24.75%
Alchemix,44%,,12.05%
Stabilize Finance,43%,,
yAxis,43%,,
ApeSwap,42%,,
Rabbit Finance,42%,,
Peak Defi,41%,,
PrivacySwap,41%,,
DDEX,40%,7.4,
ACryptoS — BSC,38%,,
BAO Finance — BSC,38%,,
JetFuel Finance,38%,,
PolyCat Finance,38%,,
TreeDefi,38%,,
Wault Finance – BSC,37%,,
Pangolin,36%,,
RAMP,35%,,
ShibaSwap,35%,,
Goose Finance — BSC,34%,,
Nerve Finance,34%,,
Interfinex,33%,,
PolyDEX,33%,,
Pancake Bunny – BSC,32%,,31.76%
1inch Finance,31%,,
DerivaDex,31%,,
Saffron Finance,31%,,
Perlin X,3%,,
DeFi Bids,28%,,
DeFi Swap (Crypto.com),28%,,
LavaCake,28%,,
For Tube Finance,27%,,
Swerve Finance,27%,,
QuickSwap – Polygon,26%,,
Macaron Swap – BSC,21%,,
PEPEMon Finance,21%,,
Wing Finance,21%,,
DeFiner,20%,,
YFFI Finance,2%,,
BiSwap,11%,,
Balancer V2,100%,,26.66%
Thorchain,,,7.26%
Stake DAO,,,3.23%
Benchmark Protocol,,,2.60%
Nuo,,4.9,
Oasis,,9.7,